7,20,47,3,31,11,19,2,26,48,3,7,41,41,47,45,11,30,47,12,27,19,23,36,8,22,16,42,43,28,5,15,45,47,49,4,13,35,34,21,14,46,33,2,26,35,50,35,31,31
50,6,10,6,15,27,43,49,39,11,26,41,17,39,25,46,37,31,46,24,30,18,30,48,31,50,36,43,44,41,9,16,42,21,48,42,38,36,19,27,34,34,5,14,4,47,10,6,33,17
42,49,30,25,9,39,48,8,33,33,8,41,12,7,45,47,8,45,2,2,50,37,4,16,3,13,39,11,20,5,12,16,30,37,40,12,21,23,37,38,10,3,12,7,32,2,2,44,39,48
20,13,5,50,48,24,10,37,48,36,49,28,46,34,12,46,48,24,8,14,45,48,50,25,10,6,47,13,26,5,16,13,18,47,15,8,30,5,34,8,10,27,29,12,8,48,22,41,17,22
26,28,29,6,21,3,3,25,30,35,48,33,13,46,13,10,42,31,6,26,36,40,23,16,49,17,46,34,25,37,25,33,23,31,15,37,31,34,21,19,26,17,6,43,40,22,15,3,20,10
27,26,15,26,38,3,4,15,36,21,21,29,37,38,28,43,17,8,23,34,13,9,31,49,50,36,47,50,41,25,22,40,26,49,44,13,30,17,46,9,7,15,4,49,10,45,29,46,33,23
29,33,39,29,43,22,16,4,16,27,6,45,5,6,19,19,29,21,10,23,9,6,35,31,35,33,49,6,17,14,50,47,39,47,10,28,31,49,16,38,16,9,46,35,33,41,10,16,6,28
38,10,3,35,28,29,13,46,43,24,43,18,20,36,37,50,23,10,49,50,27,19,29,3,28,50,16,36,41,12,29,30,21,32,18,40,31,20,41,20,3,46,32,35,43,49,6,22,29,44
33,2,31,32,29,22,19,8,12,18,46,48,36,12,36,4,31,17,8,38,34,30,40,18,32,5,7,40,11,19,31,15,44,4,28,49,48,22,46,47,11,14,20,7,16,25,23,24,27,39
26,14,5,28,12,39,38,34,21,10,2,37,31,32,13,7,40,35,10,5,21,49,20,26,15,9,31,30,47,16,50,37,24,50,41,29,10,47,14,6,28,40,43,40,28,45,30,10,39,4
8,50,14,40,14,36,49,36,13,10,4,49,17,9,20,2,26,25,18,5,41,34,9,46,44,43,30,39,48,6,7,49,25,45,41,16,21,15,23,42,36,18,17,33,35,36,5,25,12,29
24,11,34,35,38,42,41,18,11,2,5,27,22,25,9,35,43,50,30,41,33,18,43,17,34,22,47,41,46,8,5,45,35,34,37,30,2,18,21,6,12,36,10,39,37,35,49,4,44,25
13,33,9,46,19,39,43,5,18,7,12,31,21,14,13,41,17,6,43,3,25,50,24,19,30,11,30,25,15,28,32,31,6,28,3,15,25,18,28,22,48,32,43,8,48,3,50,8,31,18
2,37,32,33,33,15,22,3,5,6,44,5,3,3,44,20,21,23,3,19,35,11,47,14,44,22,50,31,3,31,29,2,9,24,11,22,21,33,35,18,24,5,2,18,21,36,23,37,30,25
47,24,7,15,39,24,17,34,6,16,13,34,4,44,23,6,10,35,25,46,40,25,49,9,47,8,23,48,15,16,4,35,9,24,32,22,37,47,5,23,12,10,49,9,46,50,43,24,28,15
39,16,31,37,16,45,26,30,21,50,43,12,3,8,36,20,11,9,27,37,21,17,38,35,16,47,50,33,27,25,16,11,49,15,25,26,14,15,9,4,30,4,33,36,40,46,13,23,13,16
23,11,42,35,9,18,31,8,48,18,34,41,11,14,31,16,8,44,21,11,5,41,11,17,26,41,41,18,29,23,16,44,28,44,36,27,39,11,21,25,30,11,13,37,21,3,6,42,29,32
32,15,43,27,24,20,10,16,30,42,39,3,36,41,16,27,19,48,42,21,29,15,31,33,29,14,7,36,17,17,50,14,20,39,31,36,28,4,13,20,45,29,26,44,44,11,37,14,24,32
23,22,49,7,37,14,34,38,37,14,11,28,4,50,48,14,17,35,50,6,20,37,44,7,18,49,31,43,46,11,27,3,2,27,33,33,31,41,17,35,30,30,30,20,15,20,6,49,13,26
12,5,48,22,34,12,36,31,13,7,38,6,50,35,17,44,27,38,17,26,42,17,29,20,4,6,47,9,34,9,16,18,19,18,10,29,37,33,6,40,13,21,21,39,26,26,46,40,37,33
11,30,40,33,4,43,33,10,20,38,11,46,4,25,13,49,30,16,36,30,42,18,42,40,44,17,13,8,30,9,30,10,28,43,49,21,41,13,24,23,20,14,9,33,11,13,21,21,27,27
49,11,43,31,4,40,32,37,34,22,15,33,7,48,16,32,35,33,43,43,20,10,25,34,46,45,26,20,44,14,28,12,12,21,27,13,37,9,2,44,6,35,18,3,30,5,32,10,12,7
27,35,7,46,4,8,24,42,8,12,15,38,30,27,49,44,27,21,36,21,17,29,17,18,2,33,17,44,8,47,10,42,4,48,18,29,15,17,4,44,32,11,29,49,12,40,6,48,2,13
26,40,32,27,38,47,44,48,13,50,41,48,11,33,35,30,14,18,43,38,12,46,32,22,39,16,46,36,37,14,34,24,24,11,7,6,25,8,42,13,33,44,17,2,38,10,5,40,45,12
6,20,14,12,39,28,46,21,19,45,33,12,30,25,28,35,33,28,2,6,11,16,26,17,21,9,44,33,44,39,36,10,26,44,33,18,38,13,9,11,28,22,11,44,3,35,38,2,27,43
9,40,26,20,47,44,3,13,10,25,21,21,15,4,24,25,44,16,23,22,48,26,2,22,32,28,36,30,35,27,11,49,16,42,48,18,27,32,41,14,2,46,34,41,22,42,8,4,14,39
25,2,30,7,32,26,24,32,40,24,40,41,18,21,10,50,29,37,41,12,41,32,26,6,24,33,38,48,9,40,50,3,46,5,20,27,6,34,34,43,34,45,13,23,22,13,34,2,42,28
27,6,32,25,26,24,40,5,46,50,15,3,3,7,4,31,4,6,23,33,30,18,19,40,30,42,43,40,22,3,41,35,21,5,30,3,18,12,9,42,27,31,17,44,2,32,3,36,13,2
49,12,15,14,46,43,47,3,25,23,48,21,45,7,7,4,35,10,31,19,18,35,30,15,27,28,29,48,3,21,43,36,16,20,37,29,46,49,11,44,43,35,13,33,32,50,31,12,31,6
37,9,36,14,5,31,10,14,30,38,37,15,19,29,39,20,17,33,22,29,48,27,46,31,3,32,18,4,38,6,13,47,37,4,6,34,37,25,25,24,45,39,38,34,25,46,47,16,12,28
20,47,45,10,49,16,50,6,50,3,34,32,11,31,10,14,28,27,6,41,11,5,35,17,33,7,13,41,47,33,16,15,23,47,18,18,19,28,49,7,43,5,5,39,22,21,14,40,41,2
28,9,6,12,45,9,27,6,42,16,37,43,44,31,32,6,37,13,18,6,17,2,30,33,26,33,19,45,4,43,16,29,21,45,16,4,9,39,13,36,39,10,35,50,28,49,31,25,8,48
37,12,21,18,25,23,10,14,11,26,21,20,41,32,39,17,28,35,27,15,34,42,38,44,6,28,17,22,41,46,37,49,44,31,4,11,2,47,25,38,17,33,6,23,33,45,31,45,20,24
45,6,13,24,25,14,22,16,36,36,8,21,4,21,45,3,31,45,24,40,43,43,35,28,6,47,16,27,9,35,22,27,3,21,33,30,25,25,33,43,23,32,5,27,25,8,23,26,9,42
32,43,34,24,37,31,3,23,27,31,9,5,27,45,32,14,38,38,10,9,7,5,27,46,3,50,31,50,22,30,4,24,47,2,27,14,13,34,42,21,50,6,28,50,5,6,10,3,28,26
10,16,13,39,34,5,19,38,42,6,31,28,33,3,3,39,9,20,39,21,50,49,27,10,7,46,28,20,7,13,22,46,19,6,28,15,12,31,28,33,19,11,42,32,4,11,10,47,12,8
46,33,25,50,34,12,3,24,23,11,8,17,41,43,39,10,37,40,46,26,28,31,21,21,22,26,23,19,16,4,39,7,20,13,30,49,33,48,11,39,23,12,44,42,45,36,41,31,50,3
47,43,47,30,25,14,7,32,48,3,46,50,48,5,31,26,13,5,50,28,48,32,41,3,47,41,4,30,27,30,24,22,8,29,46,16,18,18,49,15,14,20,8,36,44,20,4,29,24,37
4,41,12,2,37,39,29,2,37,4,49,21,4,35,40,36,38,15,32,4,36,16,49,11,41,11,46,6,7,10,3,7,28,26,39,48,13,45,45,11,34,15,15,20,49,34,50,20,21,15
24,24,43,13,23,46,18,27,31,17,5,30,44,36,31,43,50,38,46,43,19,5,5,40,18,45,22,35,20,15,20,47,50,18,4,15,44,50,6,38,39,36,2,32,42,2,31,24,38,28
13,34,19,16,3,4,11,33,7,27,41,45,50,11,27,12,27,2,49,26,27,25,9,16,20,6,44,5,34,5,5,15,10,4,47,20,13,8,13,20,40,40,17,50,44,25,43,30,4,13
5,31,36,29,37,35,18,20,8,39,15,24,48,31,44,34,37,18,21,31,11,23,44,7,35,49,39,18,29,20,44,40,49,19,30,40,31,26,9,49,43,47,4,43,7,44,45,44,14,19
32,18,27,37,13,43,5,6,9,12,24,29,25,46,19,17,30,18,25,42,30,20,24,3,26,15,19,38,33,23,31,48,15,16,4,45,30,4,44,43,33,11,29,26,47,3,34,4,43,13
46,42,37,22,17,38,5,45,8,2,18,19,33,47,9,50,36,24,5,33,2,41,35,11,33,47,9,14,30,19,24,33,39,28,32,10,24,7,15,16,12,47,34,18,9,50,9,50,46,30
2,41,19,30,3,18,44,3,44,16,14,2,35,21,27,7,49,3,49,25,28,33,9,23,27,36,25,8,3,37,37,4,25,11,36,27,45,32,44,3,20,44,20,48,23,25,14,2,12,40
27,11,47,9,16,31,36,42,13,13,42,16,24,29,15,46,3,32,5,33,41,15,25,26,38,23,21,13,8,32,45,18,24,33,17,47,4,37,41,16,46,20,5,23,15,50,6,49,5,28
49,39,9,46,50,24,32,22,20,18,46,28,49,29,6,23,45,49,43,34,37,25,2,44,40,23,41,5,24,49,40,29,42,24,9,11,9,3,4,29,8,33,19,13,9,42,33,5,40,23
14,25,44,34,11,20,13,18,27,5,48,36,3,15,45,24,28,20,6,42,6,44,20,40,27,31,21,27,16,13,6,21,11,17,32,21,50,49,25,16,45,22,24,29,46,17,46,15,2,49
26,16,28,8,45,45,21,9,18,27,47,44,39,21,25,20,3,43,30,10,27,35,44,9,12,18,29,46,18,35,8,9,37,45,23,23,12,35,48,12,31,11,39,23,6,29,34,21,12,45
37,19,9,16,5,48,33,7,23,12,36,23,7,19,12,20,7,37,30,38,28,26,3,8,23,42,13,12,2,44,37,43,15,21,23,4,39,7,9,2,34,28,19,38,12,21,13,14,37,49
